Name,Capacity,CRate,Price,Mass,Length,Width,Height,Voltage
Maxamps Lithium Batteries LiPo 62000 12S2P 44.4v Battery Pack,62,25,3600,13.312,197,135,241,44.4
Maxamps Lithium Batteries LiPo 46000 12S2P 44.4v Battery Pack,46,25,3120,9.564,198,91,265,44.4
Tattu Plus 1.0 16000mAh 44.4V Lipo Smart Battery Pack,16,30,696,4.141,238,174,117,44.4
TA-PLUS1.0-25C-22000-12S1P-AS150,22,25,870,6.112,235.5,172,116,44.4
TA-PR-25C-22000-12S1P-AS150-F,22,25,978,6.3,117,174,238,44.4
TA-30C-10000-12S1P-AS150U,10,30,433,2.7,182,67,115,44.4
TA-PLUS1.0-15C-16000-12S1P-C-AS150U,16,15,696,4.25,217,150,80,44.4
UnmannedRC 12S 16000,16,10,678,2.99,200,75,100,44.4
UnmannedRC 12S 22000,22,10,948,3.92,200,75,132,44.4
UnmannedRC 12S 27000,27,10,1249,4.74,210,90,123,44.4
UnmannedRC 12S 30000,30,10,1434,5.28,210,90,137,44.4
